"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   314";
"Trial ID";"313";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:32:21";
"Trial duration";"00:01:53";
"Recording after";"00:00:13";
"Recording duration";"00:01:40";
"Track";"Track filet0313a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   314.mpg";
"Video start time";"02/10/2017 11:32:21";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:53";
"Reference time";"02/10/2017 11:32:21";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"28.7 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"2red";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
12.520;0.000;-59.0369;3.6175;7.70512;0.631136;0.639972;"-";"-";1;0;0;0;0;0;1;1;
12.560;0.040;-58.9978;3.651;7.99439;0.815217;0.619251;0.0515194;1.28798;1;0;0;0;0;0;1;1;
12.600;0.080;-58.9587;3.67996;7.04769;1.68303;0.576737;0.0486177;1.21544;1;0;0;0;0;0;1;1;
12.640;0.120;-58.9211;3.70571;8.25736;1.57784;0.61186;0.0455582;1.13896;1;0;0;0;0;0;1;1;
12.680;0.160;-58.8853;3.72971;8.38885;0.657433;0.622653;0.0431074;1.07768;1;0;0;0;0;0;1;1;
12.720;0.200;-58.8512;3.7531;8.52034;0.815217;0.641971;0.0413862;1.03466;1;0;0;0;0;0;1;1;
12.760;0.240;-58.8185;3.77671;8.52034;0.736325;0.604293;0.0403357;1.00839;1;0;0;0;0;0;1;1;
12.800;0.280;-58.787;3.80113;8.57293;0.736325;0.599035;0.039853;0.996326;1;0;0;0;0;0;1;1;
12.840;0.320;-58.7565;3.82674;9.15147;0.894109;0.561613;0.0398362;0.995906;1;0;0;0;0;0;1;1;
12.880;0.360;-58.7267;3.85379;9.33555;0.710028;0.587147;0.0401948;1.00487;1;0;0;0;0;0;1;1;
12.920;0.400;-58.6977;3.88246;8.80961;1.36746;0.540445;0.0408378;1.02095;1;0;0;0;0;0;1;1;
12.960;0.440;-58.6654;3.90745;9.23036;0.736325;0.585743;0.0407911;1.01978;1;0;0;0;0;0;1;1;
13.000;0.480;-58.6312;3.93722;8.94109;0.867812;0.599191;0.0453769;1.13442;1;0;0;0;0;0;1;1;
13.040;0.520;-58.6014;3.97002;8.57293;0.736325;0.572258;0.0443171;1.10793;1;0;0;0;0;0;1;1;
13.080;0.560;-58.5762;4.00584;8.15217;0.631136;0.568374;0.0437659;1.09415;1;0;0;0;0;0;1;1;
13.120;0.600;-58.5507;4.04534;8.94109;1.26227;0.561384;0.0470298;1.17575;1;0;0;0;0;0;1;1;
13.160;0.640;-58.5274;4.09109;9.09888;0.946704;0.544394;0.0513451;1.28363;1;0;0;0;0;0;1;1;
13.200;0.680;-58.5033;4.14037;9.07258;1.28857;0.493938;0.0548437;1.37109;1;0;0;0;0;0;1;1;
13.240;0.720;-58.4855;4.1892;10.5452;2.78752;0.490464;0.0519883;1.29971;1;0;0;0;0;0;1;1;
13.280;0.760;-58.476;4.2342;10.8871;2.23527;0.475279;0.0459839;1.1496;1;0;0;0;0;0;1;1;
