"Number of header lines:";"40";
"Experiment";"2017_batch2";
"System Independent Variable";
"Trial name";"Trial   633";
"Trial ID";"632";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"09/10/2017 11:39:14";
"Trial duration";"00:01:48";
"Recording after";"00:00:08";
"Recording duration";"00:01:40";
"Track";"Track filet0632a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\2017_batch2\Media Files\Trial   633.mpg";
"Video start time";"09/10/2017 11:39:14";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:48";
"Reference time";"09/10/2017 11:39:14";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"23.3 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"3red";
"Release quadrant";"";
"trial";"probe2";
"Platform Position";"W";
"Day";"11";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.800;0.000;-34.7772;-28.1727;17.8296;6.33766;0.630844;"-";"-";1;0;0;0;0;0;1;1;
7.840;0.040;-35.3529;-28.0655;16.7514;6.8636;0.646096;0.585618;14.6404;1;0;0;0;0;0;1;1;
7.880;0.080;-35.8572;-27.8621;16.1992;5.60133;0.69483;0.543757;13.5939;1;0;0;0;0;0;1;1;
7.920;0.120;-36.2796;-27.5845;17.2511;3.73422;0.701188;0.505462;12.6365;1;0;0;0;0;0;1;1;
7.960;0.160;-36.6137;-27.2518;17.8559;4.9702;0.695168;0.471473;11.7868;1;0;0;0;0;0;1;1;
8.000;0.200;-36.8558;-26.8779;17.4877;5.9432;0.712737;0.44545;11.1363;1;0;0;0;0;0;1;1;
8.040;0.240;-37.0042;-26.4724;18.3292;7.99439;0.775545;0.431837;10.7959;1;0;0;0;0;0;1;1;
8.080;0.280;-37.0579;-26.0415;18.5133;5.54874;0.797528;0.434163;10.8541;1;0;0;0;0;0;1;1;
8.120;0.320;-37.0163;-25.5897;18.6711;6.78471;0.781953;0.453799;11.345;1;0;0;0;0;0;1;1;
8.160;0.360;-36.8794;-25.1195;18.6185;7.62623;0.759675;0.489699;12.2425;1;0;0;0;0;0;1;1;
8.200;0.400;-36.6471;-24.6328;19.4863;9.80891;0.778414;0.539268;13.4817;1;0;0;0;0;0;1;1;
8.240;0.440;-36.3274;-24.037;20.0912;8.07328;0.787886;0.676158;16.9039;1;0;0;0;0;0;1;1;
8.280;0.480;-35.9026;-23.4423;20.8538;7.70512;0.794728;0.730866;18.2717;1;0;0;0;0;0;1;1;
8.320;0.520;-35.3638;-22.8613;21.2745;8.73072;0.780071;0.792366;19.8091;1;0;0;0;0;0;1;1;
8.360;0.560;-34.7132;-22.2875;22.0372;10.1771;0.787238;0.867538;21.6885;1;0;0;0;0;0;1;1;
8.400;0.600;-33.9551;-21.7434;21.932;8.94109;0.785391;0.93316;23.329;1;0;0;0;0;0;1;1;
8.440;0.640;-33.1004;-21.2545;22.4316;9.33555;0.794093;0.984545;24.6136;1;0;0;0;0;0;1;1;
8.480;0.680;-32.1703;-20.8155;22.195;10.8082;0.770238;1.02853;25.7132;1;0;0;0;0;0;1;1;
8.520;0.720;-31.169;-20.4523;22.2738;11.7549;0.775687;1.0651;26.6275;1;0;0;0;0;0;1;1;
8.560;0.760;-30.1155;-20.1485;22.7998;11.0975;0.818764;1.09646;27.4114;1;0;0;0;0;0;1;1;
8.600;0.800;-29.0244;-19.918;22.2738;8.8885;0.797502;1.11522;27.8804;1;0;0;0;0;0;1;1;
8.640;0.840;-27.9235;-19.7665;22.7735;9.96669;0.803773;1.11124;27.7811;1;0;0;0;0;0;1;1;
8.680;0.880;-26.8284;-19.6999;22.9313;10.5189;0.781916;1.09714;27.4286;1;0;0;0;0;0;1;1;
8.720;0.920;-25.7448;-19.7227;22.7209;11.3079;0.776303;1.08385;27.0962;1;0;0;0;0;0;1;1;
8.760;0.960;-24.6904;-19.8276;22.379;10.6504;0.733532;1.05958;26.4895;1;0;0;0;0;0;1;1;
8.800;1.000;-23.6762;-20.0102;21.2219;10.0456;0.656049;1.03049;25.7623;1;0;0;0;0;0;1;1;
8.840;1.040;-22.7058;-20.2719;21.0642;9.25666;0.663333;1.00506;25.1266;1;0;0;0;0;0;1;1;
8.880;1.080;-21.778;-20.6126;21.8531;9.04628;0.669697;0.988398;24.71;1;0;0;0;0;0;1;1;
8.920;1.120;-20.8926;-21.0223;23.5098;8.44144;0.714596;0.975624;24.3906;1;0;0;0;0;0;1;1;
8.960;1.160;-20.0376;-21.4817;23.7465;9.28296;0.739519;0.970548;24.2637;1;0;0;0;0;0;1;1;
9.000;1.200;-19.2009;-21.9795;25.3769;8.46774;0.801355;0.973634;24.3409;1;0;0;0;0;0;1;1;
9.040;1.240;-18.3817;-22.5265;26.7707;8.59923;0.819747;0.985103;24.6276;1;0;0;0;0;0;1;1;
9.080;1.280;-17.5686;-23.1192;26.1921;10.3611;0.809733;1.00611;25.1527;1;0;0;0;0;0;1;1;
9.120;1.320;-16.7522;-23.748;26.7181;9.36185;0.822271;1.03049;25.7622;1;0;0;0;0;0;1;1;
9.160;1.360;-15.9248;-24.3994;26.5077;9.73001;0.812248;1.05308;26.3269;1;0;0;0;0;0;1;1;
9.200;1.400;-15.0821;-25.0763;26.5603;9.51964;0.803638;1.08087;27.0217;1;0;0;0;0;0;1;1;
9.240;1.440;-14.2324;-25.767;26.9811;9.94039;0.789461;1.09503;27.3758;1;0;0;0;0;0;1;1;
9.280;1.480;-13.3851;-26.4763;26.9811;10.6767;0.791529;1.10503;27.6257;1;0;0;0;0;0;1;1;
9.320;1.520;-12.5484;-27.2079;26.8233;10.7819;0.808252;1.11141;27.7851;1;0;0;0;0;1;0;1;
9.360;1.560;-11.733;-27.9597;26.3236;9.59853;0.793956;1.10913;27.7283;1;0;0;0;0;1;0;1;
9.400;1.600;-10.9343;-28.7359;25.7977;9.41445;0.769875;1.11372;27.8431;1;0;0;0;0;1;0;1;
9.440;1.640;-10.1627;-29.5316;25.6662;11.1238;0.731085;1.10833;27.7083;1;0;0;0;0;1;0;1;
9.480;1.680;-9.44384;-30.3451;25.5347;11.0186;0.763286;1.08567;27.1418;1;0;0;0;0;1;0;1;
9.520;1.720;-8.7946;-31.1749;25.298;9.80891;0.763623;1.05356;26.3389;1;0;0;0;0;1;0;1;
9.560;1.760;-8.22903;-32.0197;24.7721;8.99369;0.76248;1.01665;25.4163;1;0;0;0;0;1;0;1;
9.600;1.800;-7.73772;-32.8665;25.1928;9.20407;0.75385;0.979038;24.4759;1;0;0;0;0;1;0;1;
9.640;1.840;-7.32626;-33.7051;24.6143;9.04628;0.740219;0.934086;23.3521;1;0;0;0;0;1;0;1;
9.680;1.880;-7.00701;-34.5103;23.1417;9.62482;0.689478;0.866216;21.6554;1;0;0;0;0;1;0;1;
9.720;1.920;-6.78411;-35.281;22.905;9.59853;0.658015;0.802294;20.0573;1;0;0;0;0;1;0;1;
9.760;1.960;-6.65394;-36.0019;22.2212;9.62482;0.576493;0.732531;18.3133;1;0;0;0;0;1;0;1;
9.800;2.000;-6.61364;-36.6759;21.5112;7.8629;0.54982;0.675147;16.8787;1;0;0;0;0;1;0;1;
9.840;2.040;-6.65556;-37.2849;20.5908;7.17917;0.609536;0.610503;15.2626;1;0;0;0;0;1;0;1;
9.880;2.080;-6.76754;-37.8124;20.0912;7.49474;0.656904;0.539187;13.4797;1;0;0;0;0;1;0;1;
9.920;2.120;-6.93774;-38.2329;19.6178;6.15358;0.644729;0.453704;11.3426;1;0;0;0;0;1;0;1;
9.960;2.160;-7.15008;-38.5517;20.9853;5.68022;0.624373;0.383026;9.57566;1;0;0;0;0;1;0;1;
10.000;2.200;-7.37824;-38.7611;21.3797;5.9169;0.631989;0.309702;7.74254;1;0;0;0;0;1;0;1;
10.040;2.240;-7.61685;-38.8605;20.8275;6.33766;0.612853;0.258473;6.46182;1;0;0;0;0;1;0;1;
10.080;2.280;-7.8563;-38.8494;19.5389;6.8636;0.611588;0.239712;5.9928;1;0;0;0;0;1;0;1;
10.120;2.320;-8.08547;-38.7283;19.9334;6.39025;0.637893;0.259214;6.48035;1;0;0;0;0;1;0;1;
10.160;2.360;-8.27841;-38.5096;19.9071;4.33906;0.656873;0.291658;7.29144;1;0;0;0;0;1;0;1;
10.200;2.400;-8.38829;-38.2002;20.3015;7.9155;0.672055;0.328347;8.20867;1;0;0;0;0;1;0;1;
10.240;2.440;-8.42052;-37.8131;20.2489;7.83661;0.699212;0.388445;9.71112;1;0;0;0;0;1;0;1;
10.280;2.480;-8.37808;-37.3559;20.9853;8.78331;0.736581;0.45911;11.4777;1;0;0;0;0;1;0;1;
10.320;2.520;-8.25881;-36.8489;22.0635;6.28506;0.736936;0.52088;13.022;1;0;0;0;0;1;0;1;
10.360;2.560;-8.04147;-36.3177;23.2468;8.54663;0.761601;0.573932;14.3483;1;0;0;0;0;1;0;1;
10.400;2.600;-7.70727;-35.7748;23.5887;8.44144;0.748628;0.637497;15.9374;1;0;0;0;0;1;0;1;
10.440;2.640;-7.26989;-35.234;24.4302;9.51964;0.796516;0.695534;17.3884;1;0;0;0;0;1;0;1;
10.480;2.680;-6.73456;-34.7009;24.141;8.23107;0.781919;0.755526;18.8881;1;0;0;0;0;1;0;1;
10.520;2.720;-6.10729;-34.2079;25.0614;9.01999;0.782408;0.797823;19.9456;1;0;0;0;0;1;0;1;
10.560;2.760;-5.38338;-33.7601;24.6143;9.38815;0.796134;0.851218;21.2804;1;0;0;0;0;1;0;1;
10.600;2.800;-4.58032;-33.383;23.2994;10.3611;0.751273;0.887186;22.1796;1;0;0;0;0;1;0;1;
10.640;2.840;-3.69733;-33.0662;23.4835;10.6504;0.789589;0.938094;23.4524;1;0;0;0;0;1;0;1;
10.680;2.880;-2.74556;-32.8072;24.2987;8.33626;0.800958;0.986377;24.6594;1;0;0;0;0;1;0;1;
10.720;2.920;-1.73598;-32.6036;25.4821;9.65112;0.803366;1.0299;25.7476;1;0;0;0;0;1;0;1;
10.760;2.960;-0.673592;-32.4592;25.8766;8.80961;0.810038;1.07217;26.8042;1;0;0;0;0;1;0;1;
10.800;3.000;0.431821;-32.3609;25.9555;10.4926;0.822181;1.10977;27.7442;1;0;0;0;0;1;0;1;
10.840;3.040;1.56645;-32.3041;25.6399;10.256;0.813637;1.13605;28.4013;1;0;0;0;0;1;0;1;
10.880;3.080;2.72773;-32.2793;26.2184;9.57223;0.787214;1.16154;29.0385;1;0;0;0;0;1;0;1;
10.920;3.120;3.90239;-32.2816;26.2973;11.0186;0.803001;1.17467;29.3666;1;0;0;0;0;1;0;1;
10.960;3.160;5.08929;-32.3147;25.561;9.67742;0.787904;1.18736;29.684;1;0;0;0;0;1;0;1;
11.000;3.200;6.27397;-32.3671;24.9562;11.4393;0.789432;1.18584;29.6461;1;0;0;0;0;1;0;1;
11.040;3.240;7.44925;-32.4367;24.141;10.5452;0.751858;1.17733;29.4333;1;0;0;0;0;1;0;1;
11.080;3.280;8.61706;-32.5239;24.2198;9.28296;0.756473;1.17106;29.2766;1;0;0;0;0;1;0;1;
11.120;3.320;9.75808;-32.6349;25.114;9.78261;0.784176;1.14641;28.6602;1;0;0;0;0;1;0;1;
11.160;3.360;10.8623;-32.779;25.2454;10.0193;0.766027;1.11363;27.8407;1;0;0;0;0;1;0;1;
11.200;3.400;11.92;-32.9668;25.0351;11.413;0.778953;1.07415;26.8537;1;0;0;0;0;1;0;1;
11.240;3.440;12.9298;-33.1986;24.3513;10.2034;0.75367;1.03616;25.904;1;0;0;0;0;1;0;1;
11.280;3.480;13.8884;-33.4808;24.1147;9.44074;0.735959;0.999201;24.98;1;0;0;0;0;1;0;1;
11.320;3.520;14.7878;-33.8223;24.1935;9.65112;0.730866;0.962092;24.0523;1;0;0;0;0;1;0;1;
11.360;3.560;15.6417;-34.2285;23.7991;9.38815;0.700976;0.945614;23.6404;1;0;0;0;0;1;0;1;
11.400;3.600;16.4377;-34.6887;23.352;10.3874;0.699845;0.919412;22.9853;1;0;0;0;0;1;0;1;
11.440;3.640;17.1842;-35.1962;23.168;9.17777;0.709205;0.902693;22.5673;1;0;0;0;0;1;0;1;
11.480;3.680;17.8942;-35.7312;23.1154;7.99439;0.695489;0.888998;22.2249;1;0;0;0;0;1;0;1;
11.520;3.720;18.5799;-36.2764;23.9043;8.30996;0.743419;0.87603;21.9007;1;0;0;0;0;1;0;1;
11.560;3.760;19.2486;-36.8257;23.1942;8.49404;0.757675;0.865381;21.6345;1;0;0;0;0;1;0;1;
11.600;3.800;19.9053;-37.3684;23.4309;7.07398;0.754265;0.851889;21.2972;1;0;0;0;0;1;0;1;
11.640;3.840;20.5599;-37.8845;23.6413;8.41515;0.760367;0.833631;20.8408;1;0;0;0;0;1;0;1;
11.680;3.880;21.2235;-38.3497;23.352;8.80961;0.774726;0.810423;20.2606;1;0;0;0;0;1;0;1;
11.720;3.920;21.8969;-38.7564;23.0102;8.96739;0.787153;0.786709;19.6677;1;0;0;0;0;1;0;1;
11.760;3.960;22.5885;-39.1004;23.6939;6.73212;0.790863;0.772407;19.3102;1;0;0;0;0;1;0;1;
11.800;4.000;23.2911;-39.3498;22.1687;7.52104;0.812641;0.745548;18.6387;1;0;0;0;0;1;0;1;
11.840;4.040;24.011;-39.5036;22.6157;8.02069;0.815518;0.73613;18.4032;1;0;0;0;0;1;0;1;
11.880;4.080;24.7401;-39.551;21.7479;8.70442;0.764016;0.730672;18.2668;1;0;0;0;0;1;0;1;
11.920;4.120;25.4719;-39.4985;22.1424;8.75701;0.784504;0.733616;18.3404;1;0;0;0;0;1;0;1;
11.960;4.160;26.2018;-39.3529;22.5105;8.25736;0.810999;0.744309;18.6077;1;0;0;0;0;1;0;1;
12.000;4.200;26.9314;-39.1251;22.0898;7.25806;0.823815;0.764384;19.1096;1;0;0;0;0;1;0;1;
12.040;4.240;27.6587;-38.8134;22.3001;7.8892;0.831228;0.791253;19.7813;1;0;0;0;0;1;0;1;
12.080;4.280;28.3832;-38.4356;22.6683;7.62623;0.822867;0.817041;20.426;1;0;0;0;0;1;0;1;
12.120;4.320;29.1075;-38.0087;23.6939;8.07328;0.834153;0.840736;21.0184;1;0;0;0;0;1;0;1;
12.160;4.360;29.8367;-37.5349;23.6676;8.02069;0.806478;0.869625;21.7406;1;0;0;0;0;1;0;1;
12.200;4.400;30.5572;-37.0333;24.0884;9.78261;0.82199;0.877955;21.9489;1;0;0;0;0;1;0;1;
12.240;4.440;31.2723;-36.5158;23.9043;8.59923;0.825219;0.882678;22.067;1;0;0;0;0;1;0;1;
12.280;4.480;31.9852;-35.9847;21.9846;8.28366;0.768629;0.888994;22.2249;1;0;0;0;0;1;0;1;
12.320;4.520;32.6907;-35.4543;22.4842;8.28366;0.781665;0.882627;22.0657;1;0;0;0;0;1;0;1;
12.360;4.560;33.3785;-34.9461;21.2219;8.15217;0.760277;0.855161;21.379;1;0;0;0;0;1;0;1;
12.400;4.600;34.0417;-34.4598;19.7756;7.44215;0.688325;0.822409;20.5602;1;0;0;0;0;1;0;1;
12.440;4.640;34.6721;-33.9926;19.2234;6.60063;0.666089;0.784713;19.6178;1;0;0;0;0;1;0;1;
12.480;4.680;35.2646;-33.5383;17.6455;7.52104;0.609797;0.746499;18.6625;1;0;0;0;0;1;0;1;
12.520;4.720;35.813;-33.0988;18.6711;7.12658;0.593775;0.702845;17.5711;1;0;0;0;0;1;0;1;
12.560;4.760;36.3094;-32.6597;18.0137;6.12728;0.639532;0.662745;16.5686;1;0;0;0;0;1;0;1;
12.600;4.800;36.7433;-32.2104;17.9874;7.02139;0.697497;0.624562;15.6141;1;0;0;0;0;1;0;1;
12.640;4.840;37.1142;-31.7385;18.8815;7.15288;0.756562;0.600225;15.0056;1;0;0;0;0;1;0;1;
12.680;4.880;37.4205;-31.2362;20.4067;6.52174;0.786816;0.588346;14.7086;1;0;0;0;0;1;0;1;
12.720;4.920;37.6741;-30.6975;21.2482;6.62693;0.791686;0.595413;14.8853;1;0;0;0;0;1;0;1;
12.760;4.960;37.8796;-30.1072;21.9846;8.15217;0.804203;0.625029;15.6257;1;0;0;0;0;1;0;1;
12.800;5.000;38.0282;-29.4582;21.669;6.99509;0.798676;0.665804;16.6451;1;0;0;0;0;1;0;1;
12.840;5.040;38.1405;-28.743;22.3264;8.23107;0.797335;0.723958;18.0989;1;0;0;0;0;1;0;1;
12.880;5.080;38.222;-27.9661;22.3001;8.23107;0.81461;0.781192;19.5298;1;0;0;0;0;1;0;1;
12.920;5.120;38.2926;-27.1322;21.669;9.51964;0.810131;0.836916;20.9229;1;0;0;0;0;1;0;1;
12.960;5.160;38.3597;-26.2522;22.7998;9.17777;0.827211;0.882471;22.0618;1;0;0;0;1;0;0;1;
13.000;5.200;38.4266;-25.3175;23.9043;8.46774;0.824564;0.937166;23.4291;1;0;0;0;1;0;0;1;
13.040;5.240;38.5053;-24.3586;24.1935;8.59923;0.822054;0.962141;24.0535;1;0;0;0;1;0;0;1;
13.080;5.280;38.6087;-23.381;24.6932;10.0719;0.805979;0.982997;24.5749;1;0;0;0;1;0;0;1;
13.120;5.320;38.743;-22.3994;23.8254;10.6504;0.789372;0.990733;24.7683;1;0;0;0;1;0;0;1;
13.160;5.360;38.9183;-21.4295;22.3527;8.57293;0.749816;0.985666;24.6417;1;0;0;0;1;0;0;1;
13.200;5.400;39.141;-20.4743;21.4323;9.12518;0.703915;0.980756;24.5189;1;0;0;0;1;0;0;1;
13.240;5.440;39.4198;-19.5433;21.7479;9.30926;0.695865;0.97188;24.297;1;0;0;0;1;0;0;1;
13.280;5.480;39.7554;-18.6452;22.3264;8.8885;0.728823;0.958818;23.9704;1;0;0;0;1;0;0;1;
13.320;5.520;40.1478;-17.7716;20.8012;9.99299;0.747381;0.957602;23.9401;1;0;0;0;1;0;0;1;
13.360;5.560;40.5795;-16.9265;22.379;10.0456;0.774334;0.94904;23.726;1;0;0;0;1;0;0;1;
13.400;5.600;41.035;-16.0901;23.615;7.44215;0.78815;0.952353;23.8088;1;0;0;0;1;0;0;1;
13.440;5.640;41.504;-15.2986;24.0095;8.8622;0.802259;0.919977;22.9994;1;0;0;0;1;0;0;1;
13.480;5.680;41.986;-14.5007;24.8773;7.81031;0.823823;0.932247;23.3062;1;0;0;0;1;0;0;1;
13.520;5.720;42.4709;-13.699;24.0095;8.8622;0.813521;0.936913;23.4228;1;0;0;0;1;0;0;1;
13.560;5.760;42.9345;-12.8793;22.7735;8.9148;0.787442;0.941718;23.543;1;0;0;0;1;0;0;1;
13.600;5.800;43.3497;-12.0419;21.5375;9.44074;0.783875;0.934713;23.3678;1;0;0;0;1;0;0;1;
13.640;5.840;43.7308;-11.1855;22.6157;8.65182;0.803651;0.937348;23.4337;1;0;0;0;1;0;0;1;
13.680;5.880;44.059;-10.2987;22.3527;9.09888;0.836477;0.945574;23.6393;1;0;0;0;1;0;0;1;
13.720;5.920;44.3243;-9.37569;22.0372;8.52034;0.849302;0.960391;24.0098;1;0;0;0;1;0;0;1;
13.760;5.960;44.5275;-8.41419;21.9583;9.28296;0.846648;0.982717;24.5679;1;0;0;0;1;0;0;1;
13.800;6.000;44.6688;-7.40501;22.6157;8.07328;0.853177;1.01903;25.4759;1;0;0;0;1;0;0;1;
13.840;6.040;44.7537;-6.36296;21.9057;9.9141;0.862443;1.0455;26.1375;1;0;0;0;1;0;0;1;
13.880;6.080;44.7958;-5.27792;23.0365;8.75701;0.853178;1.08586;27.1464;1;0;0;0;1;0;0;1;
13.920;6.120;44.792;-4.1527;22.0635;9.96669;0.876418;1.12522;28.1306;1;0;0;0;1;0;0;1;
13.960;6.160;44.7267;-2.99395;23.0102;9.04628;0.860621;1.1606;29.0149;1;0;1;0;1;0;0;1;
14.000;6.200;44.6111;-1.80962;23.0628;8.99369;0.851594;1.18995;29.7488;1;0;1;0;1;0;0;1;
14.040;6.240;44.5001;-0.605139;22.7209;9.70372;0.841242;1.20959;30.2396;1;0;1;0;1;0;0;1;
