"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   316";
"Trial ID";"315";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:37:29";
"Trial duration";"00:01:47";
"Recording after";"00:00:07";
"Recording duration";"00:01:40";
"Track";"Track filet0315a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   316.mpg";
"Video start time";"02/10/2017 11:37:29";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:47";
"Reference time";"02/10/2017 11:37:29";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"43.5 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"3blue";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.240;0.000;-54.9234;5.96993;14.2795;8.57293;0.843078;"-";"-";1;0;0;0;0;0;1;1;
7.280;0.040;-55.593;6.18721;14.3058;6.9162;0.817371;0.703973;17.5993;1;0;0;0;0;0;1;1;
7.320;0.080;-56.1622;6.31664;11.939;5.46985;0.747901;0.583667;14.5917;1;0;0;0;0;0;1;1;
7.360;0.120;-56.6534;6.37889;7.8629;6.8636;0.386525;0.495187;12.3797;1;0;0;0;0;0;1;1;
7.400;0.160;-57.0828;6.38774;7.65252;6.31136;0.478409;0.429421;10.7355;1;0;0;0;0;0;1;1;
7.440;0.200;-57.46;6.35154;5.23317;4.8913;0.241159;0.378987;9.47468;1;0;0;0;0;0;1;1;
7.480;0.240;-57.7912;6.27551;"-";"-";"-";0.339835;8.49586;1;0;0;0;0;0;1;1;
7.520;0.280;-58.0802;6.16298;"-";"-";"-";0.310141;7.75352;1;0;0;0;0;0;1;1;
7.560;0.320;-58.3295;6.01618;"-";"-";"-";0.289283;7.23208;1;0;0;0;0;0;1;1;
7.600;0.360;-58.5406;5.83654;"-";"-";"-";0.277159;6.92897;1;0;0;0;0;0;1;1;
7.640;0.400;-58.7143;5.62485;"-";"-";"-";0.273828;6.8457;1;0;0;0;0;0;1;1;
7.680;0.440;-58.7963;5.34577;"-";"-";"-";0.290892;7.27231;1;0;0;0;0;0;1;1;
7.720;0.480;-58.8601;5.03342;"-";"-";"-";0.318798;7.96995;1;0;0;0;0;0;1;1;
7.760;0.520;-58.8979;4.66721;"-";"-";"-";0.368152;9.2038;1;0;0;0;0;0;1;1;
7.800;0.560;-58.838;4.27604;"-";"-";"-";0.395725;9.89313;1;0;0;0;0;0;1;1;
7.840;0.600;-58.8184;3.91599;"-";"-";"-";0.360583;9.01458;1;0;0;0;0;0;1;1;
7.880;0.640;-58.9842;3.56887;"-";"-";"-";0.384682;9.61704;1;0;0;0;0;0;1;1;
7.920;0.680;-58.9553;3.22033;"-";"-";"-";0.349725;8.74313;1;0;0;0;0;0;1;1;
7.960;0.720;-58.8995;2.8553;"-";"-";"-";0.369284;9.23209;1;0;0;0;0;0;1;1;
8.000;0.760;-58.8129;2.48011;"-";"-";"-";0.385051;9.62628;1;0;0;0;0;0;1;1;
8.040;0.800;-58.6922;2.09349;"-";"-";"-";0.40501;10.1252;1;0;0;0;0;0;1;1;
8.080;0.840;-58.5294;1.69798;"-";"-";"-";0.42773;10.6933;1;0;0;0;0;0;1;1;
