"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   310";
"Trial ID";"309";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:22:43";
"Trial duration";"00:01:47";
"Recording after";"00:00:07";
"Recording duration";"00:01:40";
"Track";"Track filet0309a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   310.mpg";
"Video start time";"02/10/2017 11:22:43";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:47";
"Reference time";"02/10/2017 11:22:43";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"25.0 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"1green";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.040;0.000;-42.9686;9.53572;18.6448;11.5182;0.847803;"-";"-";1;0;0;0;0;0;1;1;
7.080;0.040;-41.9027;10.1125;20.4856;10.0456;0.849873;1.21198;30.2995;1;0;0;0;0;0;1;1;
7.120;0.080;-40.7673;10.5421;20.9064;10.6241;0.833847;1.21396;30.3489;1;0;0;0;0;0;1;1;
7.160;0.120;-39.5843;10.8291;21.7479;11.9916;0.831619;1.21724;30.4311;1;0;0;0;0;0;1;1;
7.200;0.160;-38.3739;10.9802;21.5638;12.8594;0.838719;1.21977;30.4941;1;0;0;0;0;0;1;1;
7.240;0.200;-37.1502;11.0009;22.3001;10.2034;0.82646;1.22397;30.5992;1;0;0;0;0;0;1;1;
7.280;0.240;-35.9221;10.8955;22.642;9.9141;0.823019;1.23252;30.8131;1;0;0;0;0;0;1;1;
7.320;0.280;-34.6958;10.6674;22.4842;11.3604;0.846875;1.24735;31.1837;1;0;0;0;0;0;1;1;
7.360;0.320;-33.475;10.3187;23.2205;11.0975;0.840192;1.26962;31.7405;1;0;0;0;0;0;1;1;
7.400;0.360;-32.2621;9.85124;24.2987;11.229;0.825319;1.29991;32.4976;1;0;0;0;0;0;1;1;
7.440;0.400;-31.0585;9.26612;24.0621;11.1238;0.832913;1.33824;33.4561;1;0;0;0;0;0;1;1;
7.480;0.440;-29.7741;8.49469;24.5091;14.332;0.845514;1.49827;37.4568;1;0;0;0;0;0;1;1;
7.520;0.480;-28.5234;7.60956;26.1921;12.4649;0.834296;1.53226;38.3066;1;0;0;0;0;0;1;1;
7.560;0.520;-27.312;6.6194;26.797;11.3342;0.829533;1.5646;39.1151;1;0;0;0;0;0;1;1;
7.600;0.560;-26.1534;5.53055;28.6115;14.332;0.829015;1.58991;39.7478;1;0;0;0;0;0;1;1;
7.640;0.600;-25.0553;4.36581;31.7935;14.7528;0.770061;1.60074;40.0185;1;0;0;0;0;0;1;1;
7.680;0.640;-24.0173;3.12599;35.0543;16.3043;0.686171;1.61699;40.4248;1;0;0;0;0;0;1;1;
7.720;0.680;-23.0444;1.81755;37.1581;18.3555;0.648525;1.63051;40.7627;1;0;0;0;0;0;1;1;
7.760;0.720;-22.1258;0.444517;33.6343;18.5133;0.711642;1.652;41.2999;1;0;0;0;0;0;1;1;
7.800;0.760;-21.2604;-0.975087;31.8724;15.1736;0.78418;1.66256;41.564;1;0;0;0;0;0;1;1;
7.840;0.800;-20.426;-2.42685;34.7914;13.5957;0.788061;1.6745;41.8626;1;0;0;0;0;0;1;1;
7.880;0.840;-19.6098;-3.89098;29.6897;16.2518;0.84802;1.67624;41.906;1;0;0;0;0;0;1;1;
7.920;0.880;-18.7886;-5.34931;30.4523;14.3846;0.847182;1.67364;41.8411;1;0;0;0;0;0;1;1;
7.960;0.920;-17.9459;-6.7894;29.006;12.4912;0.836036;1.66853;41.7132;1;0;0;0;0;0;1;1;
8.000;0.960;-17.0749;-8.19566;28.033;11.6497;0.832388;1.65418;41.3545;1;0;0;0;0;0;1;1;
8.040;1.000;-16.1582;-9.56839;27.4281;12.5438;0.823292;1.65064;41.2661;1;0;0;0;0;0;1;1;
8.080;1.040;-15.182;-10.9023;27.4018;12.7542;0.822868;1.65292;41.3231;1;0;0;0;0;0;1;1;
8.120;1.080;-14.1319;-12.1873;27.9541;13.2802;0.807595;1.65949;41.4874;1;0;0;0;0;0;1;1;
8.160;1.120;-12.9982;-13.4152;28.0067;12.0968;0.82954;1.67127;41.7817;1;0;0;0;0;0;1;1;
8.200;1.160;-11.8004;-14.5823;27.9015;12.9909;0.82277;1.67242;41.8105;1;0;0;0;0;0;1;1;
8.240;1.200;-10.5465;-15.6885;27.9804;12.8068;0.824526;1.6721;41.8024;1;0;0;0;0;0;1;1;
8.280;1.240;-9.24627;-16.7305;27.9804;11.9916;0.828492;1.66626;41.6564;1;0;0;0;0;0;1;1;
8.320;1.280;-7.90256;-17.7301;28.7167;12.2546;0.826579;1.67473;41.8683;1;0;0;0;0;0;1;1;
8.360;1.320;-6.52766;-18.6973;29.8738;12.8331;0.827006;1.68099;42.0248;1;0;0;0;0;0;1;1;
8.400;1.360;-5.13572;-19.643;28.9797;11.7286;0.817117;1.68284;42.0711;1;0;0;0;0;1;0;1;
8.440;1.400;-3.7359;-20.5663;29.1374;12.9909;0.822748;1.67688;41.922;1;0;0;0;0;1;0;1;
8.480;1.440;-2.32953;-21.479;29.2163;11.8601;0.826168;1.67658;41.9146;1;0;0;0;0;1;0;1;
8.520;1.480;-0.927734;-22.3876;30.7416;12.4123;0.815458;1.6705;41.7625;1;0;0;0;0;1;0;1;
