"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   625";
"Trial ID";"624";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"09/10/2017 11:21:12";
"Trial duration";"00:02:04";
"Recording after";"00:00:24";
"Recording duration";"00:01:40";
"Track";"Track filet0624a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   625.mpg";
"Video start time";"09/10/2017 11:21:12";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:02:04";
"Reference time";"09/10/2017 11:21:12";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"12.6 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"1red";
"Release quadrant";"";
"trial";"probe2";
"Platform Position";"W";
"Day";"11";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
23.600;0.000;-18.5199;-16.8926;26.8496;11.676;0.82342;"-";"-";1;0;0;0;0;0;1;1;
23.640;0.040;-16.887;-17.3278;27.1388;11.5445;0.81057;1.68989;42.2471;1;0;0;0;0;0;1;1;
23.680;0.080;-15.3172;-17.8778;27.0337;13.622;0.813893;1.66342;41.5854;1;0;0;0;0;0;1;1;
23.720;0.120;-13.8123;-18.5177;26.9548;12.2283;0.8195;1.63531;40.8827;1;0;0;0;0;0;1;1;
23.760;0.160;-12.3773;-19.2246;26.0607;12.5175;0.781578;1.59966;39.9915;1;0;0;0;0;0;1;1;
23.800;0.200;-11.0167;-19.9816;25.9029;12.5175;0.772443;1.55698;38.9246;1;0;0;0;0;0;1;1;
23.840;0.240;-9.73411;-20.7772;26.8496;14.148;0.822537;1.50933;37.7333;1;0;0;0;0;0;1;1;
23.880;0.280;-8.53222;-21.6039;26.4814;12.202;0.831555;1.45875;36.4686;1;0;0;0;0;0;1;1;
23.920;0.320;-7.41297;-22.4565;27.4281;11.939;0.839462;1.40697;35.1742;1;0;0;0;0;1;0;1;
23.960;0.360;-6.37779;-23.3315;26.5866;11.4656;0.832715;1.35549;33.8872;1;0;0;0;0;1;0;1;
24.000;0.400;-5.42766;-24.227;26.8496;12.3597;0.836062;1.30561;32.6402;1;0;0;0;0;1;0;1;
